site,title,publication_date,keyword,sentiment.target.text,sentiment.target.score,sentiment.target.label,sentiment.document.score,sentiment.document.label,emotion.document.emotion.sadness,emotion.document.emotion.joy,emotion.document.emotion.fear,emotion.document.emotion.disgust,emotion.document.emotion.anger
https://www.wsj.com/articles/turkeys-erdogan-meets-el-salvadors-bitcoin-boosting-leader-amid-economic-crisis-11642678083,Turkey’s Erdogan Meets El Salvador’s Bitcoin-Boosting Leader Amid Economic Crisis,2022-01-20T00:00:00,['crisis'],crisis,-0.679899,negative,0.339929,positive,0.192142,0.480401,0.054305,0.053294,0.31744
https://www.freepressjournal.in/business/teji-mandi/teji-mandi-explains-how-will-sri-lankas-economic-crisis-impact-indian-investors,Teji Mandi Explains: How will Sri Lanka's economic crisis impact Indian investors?,2022-01-20T16:15:00,['crisis'],crisis,-0.826182,negative,-0.45887,negative,0.532406,0.479715,0.210259,0.11383,0.143063
https://americasquarterly.org/article/be-wary-of-argentinas-latest-economic-miracle/,"Be Wary of Argentina's Latest Economic ""Miracle""",2022-01-20T00:00:00,['crisis'],crisis,-0.535244,negative,-0.586905,negative,0.577821,0.472972,0.172826,0.094398,0.143744
https://finance.yahoo.com/news/world-economic-forum-president-countries-must-prepare-for-the-next-crisis-today-110223413.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAGNVJc_6tjBVHC5eiCFJjcDWV-AHb33pBDawZznU8iYGm78TrzrgOG-jISa0_3BW-dOECAUtmmjeHOs7CTbAZGbI5EvNxmUPGnBG0xGX4mBQ1O42B0AsgZOIdHcIH6s8fRCYdDeqFK5-HzwkqNPDDmbvBoJgJUT4NaN-r-rx86jS,"World Economic Forum president: 'Countries need to collaborate,' prepare for the next crisis today",2022-01-20T05:02:00,['crisis'],crisis,-0.648974,negative,-0.494725,negative,0.55807,0.574603,0.507597,0.082331,0.062572
https://www.savethechildren.net/news/lebanon-s-economic-crisis-spirals-out-control-pushing-children-further-hunger-2022-save,"Lebanon’s economic crisis ‘spirals out of control’, pushing children further into hunger in 2022, Save the Children warns | Save the Children International",2022-01-14T00:00:00,['crisis'],crisis,-0.41259,negative,-0.667324,negative,0.666926,0.098318,0.164793,0.154963,0.139937
https://www.theguardian.com/world/2022/jan/10/sri-lanka-appeals-to-china-to-ease-debt-burden-amid-economic-crisis,Sri Lanka appeals to China to ease debt burden amid economic crisis,2022-01-10T00:00:00,['crisis'],crisis,-0.80329,negative,-0.54873,negative,0.222712,0.500289,0.177106,0.104986,0.115402
https://news.abplive.com/news/world/sri-lanka-keeps-its-word-amid-economic-crisis-repays-500-million-international-sovereign-bonds-1507218,"Sri Lanka Keeps Its Word Amid Economic Crisis, Repays $500 Mn International Sovereign Bonds",2022-01-18T00:00:00,['crisis'],crisis,-0.7209,negative,-0.44164,negative,0.54944,0.498212,0.435244,0.078994,0.094064
https://www.abc.net.au/news/2022-01-19/omicron-economic-crisis-of-confidence/100764968,"As Omicron fears bite, shoppers are having a crisis of confidence - ABC News",2022-01-18T00:00:00,['crisis'],crisis,-0.92038,negative,-0.625176,negative,0.514045,0.163539,0.531619,0.121955,0.136576
https://www.dw.com/en/afghan-health-care-faces-collapse-amid-economic-crisis/a-60252184,Afghan health care faces collapse amid economic crisis | DW | 24.12.2021,2017-11-07T00:00:00,['crisis'],crisis,-0.884914,negative,-0.666263,negative,0.574267,0.525792,0.1783,0.438374,0.123938
https://edition.cnn.com/2021/12/30/middleeast/lebanon-crisis-children-cmd-intl/index.html,Lebanon's soul has been eviscerated by its financial crisis. Not even the children want to play,2021-12-30T00:00:00,['crisis'],crisis,-0.65519,negative,-0.662298,negative,0.623699,0.534145,0.116497,0.107328,0.121163
https://in.investing.com/analysis/turkey-economic-crisis-a-primer-200508822,Turkey Economic Crisis: A Primer,2022-01-17T00:00:00,['crisis'],crisis,-0.824914,negative,-0.606878,negative,0.574057,0.169883,0.156949,0.112038,0.134087
https://www.theguardian.com/world/2022/jan/02/covid-crisis-sri-lanka-bankruptcy-poverty-pandemic-food-prices,‘There is no money left’: Covid crisis leaves Sri Lanka on brink of bankruptcy,2022-01-02T00:00:00,['crisis'],crisis,-0.864828,negative,-0.697192,negative,0.611188,0.105857,0.591191,0.133229,0.11643
https://www.theguardian.com/business/2021/dec/28/happy-new-year-five-economic-flashpoints-to-beware-in-2022,Five economic flashpoints to beware in 2022,2021-12-28T00:00:00,['crisis'],crisis,0.0,neutral,-0.650726,negative,0.560382,0.455754,0.53845,0.09948,0.161518
